Slot_ID,Status,Vehicle,User_ID
SLOT1,Available,,
SLOT2,Available,,
SLOT3,Available,,
SLOT4,Available,,
SLOT5,Available,,
SLOT6,Available,,
SLOT7,Available,,
SLOT8,Available,,
SLOT9,Available,,
SLOT10,Available,,
SLOT11,Available,,
SLOT12,Available,,
SLOT13,Available,,
SLOT14,Available,,
SLOT15,Available,,
SLOT16,Available,,
SLOT17,Available,,
SLOT18,Available,,
SLOT19,Available,,
SLOT20,Available,,
PS4425,Available,,
PS8615,Available,,
PS4570,Occupied,470 WUC,U8103
PS9964,Available,,
PS8476,Available,,
PS1852,Occupied,332-DCQ,U9250
PS1108,Occupied,T 047979,U8162
PS4334,Available,,
PS9450,Available,,
PS1473,Available,,
PS8896,Occupied,552 RQN,U6263
PS6447,Occupied,SPT0682,U4493
PS6220,Occupied,TKJ6308,U7264
PS7460,Occupied,69Q M31,U3174
PS8163,Available,,
PS2038,Occupied,0-13503R,U1420
PS5650,Available,,
PS4462,Occupied,5HH 788,U3588
PS7691,Occupied,G63 7ZS,U4645
PS7851,Available,,
PS4130,Occupied,499-GHE,U1249
PS7356,Occupied,641 AUN,U2328
PS3112,Available,,
PS8721,Occupied,7L 9015J,U1481
PS4838,Occupied,350-EOE,U9900
PS1052,Available,,
PS6883,Occupied,ZTW 232,U6574
PS5211,Available,,
PS4797,Occupied,7A 3714Q,U6734
PS2780,Occupied,410 HII,U1194
PS5683,Available,,
PS7194,Available,,
PS7386,Occupied,EEV 753,U9603
PS5063,Occupied,3I 7A4NDY,U2841
PS7879,Available,,
PS7100,Available,,
PS4591,Occupied,8RS7276,U2596
PS5248,Available,,
PS6613,Available,,
PS7604,Occupied,52Q J09,U9239
PS3371,Occupied,PUH 636,U7179
PS3004,Occupied,J81 9EN,U2382
PS2918,Available,,
PS8028,Available,,
PS4077,Occupied,1FY V06,U8121
PS7164,Occupied,35T MI3,U3343
PS4742,Occupied,2-N6653,U7150
PS7189,Occupied,5-8222E,U5474
PS4015,Occupied,YJL 355,U2494
PS4683,Occupied,1A598,U6335
