Slot_ID,Level,Type,Status,Vehicle,User_ID,Max_Length,Max_Width,Max_Height
SLOT1,L1,Normal,Occupied,TN01AB1000,user_1,7.0,2.5,2.5
SLOT2,L1,Normal,Occupied,TN01AB1001,user_2,7.0,2.5,2.5
SLOT3,L1,Normal,Occupied,TN01AB1002,user_3,7.0,2.5,2.5
SLOT4,L1,Normal,Occupied,TN01AB1003,user_4,7.0,2.5,2.5
SLOT5,L1,Electric,Occupied,TN01AB1004,user_5,7.0,2.5,2.5
SLOT6,L1,Normal,Occupied,TN01AB1005,user_6,7.0,2.5,2.5
SLOT7,L1,Normal,Occupied,TN01AB1006,user_7,7.0,2.5,2.5
SLOT8,L1,Normal,Occupied,TN01AB1007,user_8,7.0,2.5,2.5
SLOT9,L1,Normal,Occupied,TN01AB1008,user_9,7.0,2.5,2.5
SLOT10,L1,Electric,Occupied,TN01AB1009,user_10,7.0,2.5,2.5
SLOT11,L2,Normal,Occupied,SLOT14,DZI7YXR,7.0,2.5,2.5
SLOT12,L2,Normal,Available,nan,nan,7.0,2.5,2.5
SLOT13,L2,Normal,Available,nan,nan,7.0,2.5,2.5
SLOT14,L2,Normal,Available,nan,nan,7.0,2.5,2.5
SLOT15,L2,Electric,Available,nan,nan,7.0,2.5,2.5
SLOT16,L2,Normal,Available,nan,nan,7.0,2.5,2.5
SLOT17,L2,Normal,Available,nan,nan,7.0,2.5,2.5
SLOT18,L2,Normal,Available,nan,nan,7.0,2.5,2.5
SLOT19,L2,Normal,Available,nan,nan,7.0,2.5,2.5
SLOT20,L2,Electric,Available,nan,nan,7.0,2.5,2.5
